date,RAD,TMAX,TMIN,RAIN,WIND
19355,15.8,34.6,10.1,0,69
19356,15.3,34.8,11.3,0.1,70
19357,16.3,35.6,10.6,0,68.6
19358,16.7,36,10.4,0.1,68
19359,16.8,35.9,8.7,0,67.8
19360,16.2,36.4,10.6,0.1,68
19361,14.9,34.9,11.3,0.1,74.1
19362,14.6,35,12.4,0.1,73.2
19363,15.2,35,10.2,0.1,69.1
19364,15.8,34.5,10,0.1,66.2
19365,16.5,33.7,8.7,0.1,63.7
